iter	Logloss
0	0.6679359
1	0.6449810319
2	0.6258383219
3	0.6101502198
4	0.5961264647
5	0.5834948258
6	0.572482255
7	0.5635650378
8	0.5557976385
9	0.5488157821
10	0.5426593761
11	0.5370031412
12	0.5315137875
13	0.526867083
14	0.522390424
15	0.518214873
16	0.5148289551
17	0.5113747298
18	0.5085048651
19	0.5053598643
20	0.5031129661
21	0.5005030383
22	0.4975833468
23	0.4950771598
24	0.49308353
25	0.4913280194
26	0.4895410543
27	0.4878898775
28	0.4860014001
29	0.483889042
30	0.4824095798
31	0.4807371636
32	0.4792078487
33	0.477286712
34	0.4758010164
35	0.4742034745
36	0.4728101818
37	0.4716975892
38	0.470291463
39	0.4689509066
40	0.4677514653
41	0.4658715112
42	0.4647753413
43	0.4633753401
44	0.4621838363
45	0.4607866018
46	0.4596999986
47	0.4584743641
48	0.4570856218
49	0.4560610256
50	0.45511222
51	0.4538921189
52	0.4528483606
53	0.451726878
54	0.450807811
55	0.4498945877
56	0.4488567149
57	0.4477503032
58	0.4468681548
59	0.4458458369
60	0.4448972531
61	0.4440353851
62	0.4429529612
63	0.4419751992
64	0.4408874476
65	0.4399025388
66	0.4389905026
67	0.4380653033
68	0.4373257676
69	0.4364681067
70	0.4355663512
71	0.4346828946
72	0.4338424261
73	0.433123677
74	0.4320409882
75	0.4314006123
76	0.4306905702
77	0.4297905639
78	0.4291217283
79	0.4285667342
80	0.4277824275
81	0.4269336667
82	0.4263068198
83	0.4255702129
84	0.4247143084
85	0.4238586492
86	0.4231620309
87	0.4224047647
88	0.4217772829
89	0.4208979324
90	0.4201985415
91	0.4195254548
92	0.4190256053
93	0.4184101265
94	0.4173500048
95	0.4166930679
96	0.4159987125
97	0.4149916586
98	0.4141067492
99	0.4135786097
100	0.4129834795
101	0.4124040836
102	0.4115042434
103	0.4108898069
104	0.4101866009
105	0.4096495216
106	0.4089688946
107	0.408381301
108	0.4076920615
109	0.4071711589
110	0.406761315
111	0.4060733514
112	0.4055126491
113	0.4049439965
114	0.4043531821
115	0.4037332259
116	0.4031587025
117	0.402616348
118	0.4020692848
119	0.4015239695
120	0.4009324704
121	0.4002631601
122	0.3997255195
123	0.3992950554
124	0.3988639745
125	0.3983882047
126	0.3978804146
127	0.3971951253
128	0.396728562
129	0.3959904519
130	0.3955306058
131	0.3950585154
132	0.3945504651
133	0.3938902946
134	0.3933017908
135	0.3928176717
136	0.3923245415
137	0.3917767911
138	0.3913374287
139	0.3908287881
140	0.3903324761
141	0.3899055222
142	0.3893852149
143	0.3890100715
144	0.3885283071
145	0.3881759618
146	0.3877304
147	0.3873608329
148	0.3868559385
149	0.3864522007
150	0.3859628862
151	0.3854671192
152	0.3850425056
153	0.3844618564
154	0.3839718672
155	0.3836003889
156	0.3831522389
157	0.3826833879
158	0.381999531
159	0.3816452576
160	0.3811800174
161	0.3807200813
162	0.3802358716
163	0.3797330962
164	0.3793190101
165	0.3788783935
166	0.3785579223
167	0.3781805619
168	0.3777776173
169	0.3773654901
170	0.3769786933
171	0.3766166652
172	0.3762125706
173	0.3758634059
174	0.3755096187
175	0.3751704791
176	0.3747005107
177	0.3742879014
178	0.3739440602
179	0.3735611312
180	0.3730659736
181	0.3726817737
182	0.3723433801
183	0.3719854347
184	0.3715626655
185	0.3711998486
186	0.3708015899
187	0.3703801649
188	0.3700422004
189	0.3696859892
190	0.3692008057
191	0.3688193709
192	0.3682926662
193	0.3679580578
194	0.3676056613
195	0.3672937627
196	0.3669787974
197	0.3665248475
198	0.3661686548
199	0.3658324007
200	0.3654851912
201	0.3651203089
202	0.3647757877
203	0.364316012
204	0.3640575042
205	0.3636719446
206	0.3633061669
207	0.3629231918
208	0.3624014353
209	0.3619460962
210	0.3616318507
211	0.3613593081
212	0.3610336666
213	0.3604644105
214	0.3602041463
215	0.359941534
216	0.3595972884
217	0.359350564
218	0.3590509387
219	0.3587013122
220	0.3582432369
221	0.3579372815
222	0.3575708665
223	0.3572128501
224	0.3568126339
225	0.3564127934
226	0.3560032959
227	0.3556908842
228	0.3554410371
229	0.3550394874
230	0.3546494614
231	0.3543154182
232	0.3539321159
233	0.3535519356
234	0.3531677149
235	0.3528567476
236	0.3525711913
237	0.3521628365
238	0.351890078
239	0.3515667422
240	0.351274097
241	0.3509416183
242	0.3504912377
243	0.350144142
244	0.3498471596
245	0.3494642566
246	0.3490922388
247	0.3488430719
248	0.3485679187
249	0.3482989449
250	0.3479978688
251	0.3476538294
252	0.347371905
253	0.3469537787
254	0.3466847018
255	0.3462697965
256	0.3459396617
257	0.3455738226
258	0.3452785758
259	0.3449212645
260	0.3445377848
261	0.3442290036
262	0.3438838435
263	0.3435378317
264	0.3432034033
265	0.3428841058
266	0.3425355724
267	0.3421972196
268	0.3419005383
269	0.3415504745
270	0.3411825166
271	0.3409275086
272	0.3406222577
273	0.3403525766
274	0.3399534431
275	0.3396437221
276	0.3392929505
277	0.3390044787
278	0.3387531514
279	0.3384589789
280	0.3380646434
281	0.3376763605
282	0.3373697966
283	0.3370523847
284	0.3367919957
285	0.3364393602
286	0.3361861028
287	0.3358445213
288	0.3355353739
289	0.3352788993
290	0.3350119548
291	0.3346359201
292	0.3343288055
293	0.3339133198
294	0.3335625096
295	0.3332685975
296	0.3328189578
297	0.332553432
298	0.3323009637
299	0.3320557575
300	0.3317197432
301	0.3314678749
302	0.3311413054
303	0.3308205615
304	0.3305655323
305	0.3302439315
306	0.3299418407
307	0.3296797505
308	0.3294284319
309	0.3291296318
310	0.3288823287
311	0.3286094179
312	0.328330632
313	0.3280225588
314	0.3276691818
315	0.3273925626
316	0.3271408723
317	0.3268916171
318	0.3266358213
319	0.3263350546
320	0.3259372479
321	0.3256682002
322	0.3254341115
323	0.325213741
324	0.3249869715
325	0.3247092446
326	0.3244379587
327	0.3239944164
328	0.3236975972
329	0.3234412147
330	0.3232161659
331	0.3229649059
332	0.3226494507
333	0.3223883595
334	0.3221313712
335	0.3218957118
336	0.3216631942
337	0.3214290163
338	0.3212168585
339	0.3210127178
340	0.3207063607
341	0.3204418876
342	0.3201869624
343	0.3198524554
344	0.3195930386
345	0.3193734218
346	0.3190580727
347	0.3187837705
348	0.3184363613
349	0.3181466125
350	0.317905031
351	0.3176877731
352	0.3173783421
353	0.3171425744
354	0.316884694
355	0.3165481681
356	0.3163316344
357	0.3160988549
358	0.31583489
359	0.315553229
360	0.3153253366
361	0.31507308
362	0.3147840289
363	0.314562206
364	0.3143198148
365	0.3140056272
366	0.3137823736
367	0.3135295261
368	0.3132744829
369	0.3130542193
370	0.3128322756
371	0.3125346243
372	0.3122433817
373	0.3120142582
374	0.3117342842
375	0.3114203263
376	0.3111582537
377	0.3108856806
378	0.3106626079
379	0.3103996352
380	0.3101955434
381	0.309965613
382	0.3097180465
383	0.3093973887
384	0.3091789876
385	0.308956323
386	0.3087664402
387	0.3085471104
388	0.3083472818
389	0.3080896391
390	0.3078664615
391	0.3076028717
392	0.3073969498
393	0.3071367282
394	0.3069485442
395	0.3067482037
396	0.306536925
397	0.3062523254
398	0.3060715461
399	0.305873356
400	0.3056075839
401	0.3053863629
402	0.3052237326
403	0.3049989292
404	0.3047896354
405	0.3045576574
406	0.3043373289
407	0.3041386291
408	0.3039403487
409	0.3037317954
410	0.3035268935
411	0.30336978
412	0.303173514
413	0.3029576218
414	0.3027876609
415	0.3026168377
416	0.3024309315
417	0.3021903843
418	0.3019307761
419	0.3016823841
420	0.301477393
421	0.3013067302
422	0.3010478383
423	0.3008187806
424	0.3005036987
425	0.3003109698
426	0.300113044
427	0.299931573
428	0.299763368
429	0.2995111826
430	0.2993306098
431	0.2991105939
432	0.2989104194
433	0.2986528491
434	0.29846299
435	0.2982803959
436	0.2980472841
437	0.2978374701
438	0.2976120111
439	0.2974250751
440	0.2971752092
441	0.2969977884
442	0.2967950526
443	0.2965747384
444	0.2963918293
445	0.296159615
446	0.2960201631
447	0.2958392627
448	0.2956317532
449	0.2954551286
